Code,row,Coded_med,Weight,Code2,Weight02
A1.0,61,Prabhanjanam,1,,
A1.0,62,Punarnava Mandor,1,,
A1.0,63,Punarnavasavam,2,,
A1.0,64,Pyroflex Gel,4,,
A1.0,65,Pyroflex,1,,
A1.0,66,Rasna,1,,
A1.0,67,Rasnadi,1,,
A1.0,68,Rasnaerandadi,1,,
A1.0,69,RasnaSapthakam,4,,
A1.0,70,Reosto,1,,
A1.0,71,Rheuma Off Gold,1,,
A1.0,72,Rhukot,1,,
A1.0,73,Rumastal Forte,1,,
A1.0,74,S G,2,,
A1.0,75,Sahacharadi,1,,
A1.0,76,Saina,1,,
A1.0,77,Sallaki M R,4,,
A1.0,78,Sallaki Plus,3,,
A1.0,79,Sallaki XT,1,,
A1.0,80,Shad Dharana DS,1,,
A1.0,81,Shankha,1,,
A1.0,82,Shudha Guggulu,3,,
A1.0,83,Simlim,1,,
A1.0,84,Sinhanad Guggulu,3,,
A1.0,85,Snehapana,3,,
A1.0,86,Soothashekar Gold,1,,
A1.0,87,Stresscom,1,,
A1.0,88,Sudarshan Ghana,2,,
A1.0,89,Susandhi Plus,1,,
A1.0,90,Suvarna Vasant Malati,1,,
A1.0,91,Sweda-Bashpa(Steam Bath),3,,
A1.0,92,Sweda-CPS (Podikizhi)-Sarvanga,2,,
A1.0,93,Tagara,4,,
A1.0,94,Thikthakam,1,,
A1.0,95,Tribhuvan Kriti,2,,
A1.0,96,Triphala,2,,
A1.0,97,Upanaham-Sandhi,1,,
A1.0,98,Vaiswanara,2,,
A1.0,99,Vasti-Anuvasana,1,,
A1.0,100,Virechana-Nitya,2,,
A1.0,101,Vishamushti,1,,
A1.0,102,Whyral 22,1,,
A1.0,103,Yoga session,2,,
A10.0,1,Ashwagandha,1,V2.0,1
A10.0,2,Ekangaveera,1,V2.56.0,1
A10.0,3,IHC Jyothishmadi,1,V1.0,1
A10.0,4,Madiphala,1,V2.21,1
A10.0,5,Mahathikthakam,1,V2.63,1
A10.0,6,Panchakolasavam,1,A10.0,1
A10.0,7,Saraswatharishtam Gold,1,K4.19,1
A10.0,8,Thikthakam,1,M18.11.0,1
A10.0,9,,,K2.0,1
A11.0,1,Abana,2,MS G1.0,8
A11.0,2,Abhayarishtam,17,S10.4,1
A11.0,3,Abhyanga,2,V2.10,11
A11.0,4,Abhyanga-Ardhanga,1,V2.63,29
A11.0,5,Abhyanga-Ekanga,1,S3.3,2
A11.0,6,Yoga,2,A11.0,121
A11.0,7,Agnikarma(Moxibustion),1,B5,3
A11.0,8,Amalaki,2,V13.0,2
A11.0,9,Amlant,9,V2.0,27
A11.0,10,Amlapitta Mishrana,9,S14.11,1
A11.0,11,Amodini,2,S14.21,10
A11.0,12,Anal Dilatation / Anal Infilteration / Dressing,18,N2.21.1,1
A11.0,13,Anu,1,V2.36,7
A11.0,14,Anuloma,2,A13.0,1
A11.0,15,Anuloma DS,18,S13.11,13
A11.0,16,Arogyavardhini,1,V2.23,26
A11.0,17,Arshacare,22,A9.2,1
A11.0,18,Arsho-Med Plus,3,S16.20.8,2
A11.0,19,Arshopy,1,K9.0,6
A11.0,20,Arthrojith,1,V5.1,3
A11.0,21,Asana Eladi,1,A6.1,1
A11.0,22,Asanadi,1,S16.1,3
A11.0,23,Ashta,2,N4.0,7
A11.0,24,Ashtavargam,1,M10.1,4
A11.0,25,Ashwagandha,2,K10.38A,31
A11.0,26,Asthamel C,1,V6.0,1
A11.0,27,Avagaham,1,K2.1,2
A11.0,28,Avagaham Ekanga,3,V1.0,5
A11.0,29,Avagaham-Ano rectal,3,A6.0,22
A11.0,30,Avagaham-Sarvanga,3,V2.2,3
A11.0,31,Avipathi,11,K2.0,9
A11.0,32,Ayaskrithy,1,S14.1,1
A11.0,33,Bala Thaila,2,N2.18,3
A11.0,34,Balahatadi,1,M2.0,12
A11.0,35,Bocomo,1,k12.16,1
A11.0,36,Brahmi Drakshadi,1,M18.11.2,2
A11.0,37,Brihath Saindhavadya,1,k12.0,4
A11.0,38,Brihatyadi,1,k12.4,1
A11.0,39,Catropa,1,V2.75,2
A11.0,40,Cervilon,3,M5.0,2
A11.0,41,Chandanosiradi,1,S17.0,2
A11.0,42,Chandrakala,1,K3.0,2
A11.0,43,Chandraprabha,1,S15.42,2
A11.0,44,Chinchadi,9,M6.43,1
A11.0,45,Chirivilwadi,25,J1.0,5
A11.0,46,Chitrakadi,4,M10.0,3
A11.0,47,Chyavanaprasam,1,M18.2,1
A11.0,48,Coligo,1,M10.2,3
A11.0,49,Cutis Cream,1,U1.0,1
A11.0,50,Cystone,1,K6.0,1
A11.0,51,D Nil,1,P5.0,6
A11.0,52,D-Sora,1,V2.56.0,1
A11.0,53,Dadimashtaka,1,S14.6,1
A11.0,54,Darsana,1,V5.0,3
A11.0,55,Dasamoola,2,S2.10,4
A11.0,56,Dasamoolajeerakadyarishtam,1,M12.0,1
A11.0,57,Dasamoolakaduthrayam,2,A6.2,3
A11.0,58,Dasamoolarishtam,1,M13.0,2
A11.0,59,Decrin Plus,3,P2.2,1
A11.0,60,Deepani,1,S15.38,3
A11.0,61,Dhanwantaram,2,MS T1.0,2
A11.0,62,Dhara-Kashaya-Netra,1,B3.0,2
A11.0,63,Dhara-Taila-Shiro,1,K10.10,1
A11.0,64,Diabecon DS,1,S16.0,7
A11.0,65,Dietetics Rounds,6,A2.0,6
A11.0,66,Dispovan,1,K1.0,1
A11.0,67,Drakshadi,2,G9.7,2
A11.0,68,Drakshamalakdi,1,A11.10,2
A11.0,69,Draksharishtam,1,A12.1,1
A11.0,70,Duralabharishtam,1,N2.1,1
A11.0,71,Ekangaveera,1,G10.0,3
A11.0,72,Elakanadi,1,K10.38,2
A11.0,73,Flexy,3,G8.0,2
A11.0,74,Flexy Forte,1,S14.7,2
A11.0,75,Freemodex,1,A3.0,5
A11.0,76,G P,1,S3A.0,1
A11.0,77,G T,6,S13.19,2
A11.0,78,Gandhaka,12,N4.13,1
A11.0,79,Gandha,1,MS M1.0,1
A11.0,80,Gandharvahastadi,1,S14.0,5
A11.0,81,Gandharvashastha Castro,1,B2.0,5
A11.0,82,Gandharvashastha,1,B2.1,1
A11.0,83,Garcini,2,A16.0,2
A11.0,84,Gaytarin,1,M18.19.4,1
A11.0,85,Glukostat,1,K4.13,1
A11.0,86,Godhanti,1,MS R1,2
A11.0,87,Gokshura,1,H2.0,1
A11.0,88,Gokshuradi Guggulu DS,1,S4.0,3
A11.0,89,Gorochanadi,1,K3.1,1
A11.0,90,Guggulupanchapalam,1,N4.35,2
A11.0,91,Gugguluthiktakam,2,V16.0,2
A11.0,92,Himasagaram,1,N1.0,1
A11.0,93,Himcocid,2,A12.0,1
A11.0,94,Himcospaz,1,M5.1,1
A11.0,95,Hinguvachadi,2,A5.0,1
A11.0,96,Hingwastaka,5,M14.14,1
A11.0,97,Histantin,1,S18.0,2
A11.0,98,IHC Satavari,1,P5.2,1
A11.0,99,IHC Trikatu,1,G9.0,2
A11.0,100,Indukantam,1,V2.9,1
A11.0,101,Indukanthamritham,2,P2.0,1
A11.0,102,Jathyadi,7,S14.17,1
A11.0,103,Jeerakadhyarishtam,3,U3.0,1
A11.0,104,Kalyanagulam,2,G6.0,1
A11.0,105,Kamadudha,3,V3.0,1
A11.0,106,Kamadugha Mouktik,4,K10.29,2
A11.0,107,Kamadugha Plain,14,S5.0,1
A11.0,108,Kanakayana,13,V3.1,1
A11.0,109,Karela Jamun Juice,1,A9.0,1
A11.0,110,Karpooradi,2,N2.21.0,1
A11.0,111,Kashaya,2,B2.3,1
A11.0,112,Kashisadi,5,A11.16,1
A11.0,113,Kautajadi Shilajit,1,k12.9,2
A11.0,114,Keshini,1,V10.11,1
A11.0,115,Kineaz,1,M16.0,2
A11.0,116,Kokilaksha G,2,M18.11.4,1
A11.0,117,Kottamchukkadi,9,S2.19.1,1
A11.0,118,Kshara Sutra Changing,1,K4.19,1
A11.0,119,Kshara sutra ligation,1,N4.10,1
A11.0,120,Ksheerabala,4,A11.3,1
A11.0,121,Kusumolin,30,V11.7,1
A11.0,122,Lakshmi Vilas,3,S16.10,1
A11.0,123,Lipomap,1,Y8.13,1
A11.0,124,Liv 52 DS,1,S18.1,1
A11.0,125,Liv 52,4,,
A11.0,126,Livomyn,1,,
A11.0,127,Lumbaton,3,,
A11.0,128,Madhuyashtyadi,2,,
A11.0,129,Madiphala,9,,
A11.0,130,Mahanarayana,5,,
A11.0,131,Mahamanjishtadi,1,,
A11.0,132,Mahamasha,1,,
A11.0,133,Maharasnayogaraja Guggulu,1,,
A11.0,134,Mahasapthamruthaloham,1,,
A11.0,135,Major Surgical/ParaSurgical Procedure,3,,
A11.0,136,Mamejava Ghana,1,,
A11.0,137,Manasamithra,1,,
A11.0,138,Manibhadra Guda,1,,
A11.0,139,Manibhadra,1,,
A11.0,140,Mebarid,2,,
A11.0,141,Meditrim,1,,
A11.0,142,Mobilization,1,,
A11.0,143,Moderate Surgical/ParaSurgical Procedure,2,,
A11.0,144,Murivenna,4,,
A11.0,145,Mustadi Marma,1,,
A11.0,146,Myostaal forte,6,,
A11.0,147,Myostal,4,,
A11.0,148,NImbadi Guggulu,1,,
A11.0,149,Nasya,1,,
A11.0,150,Neuron,3,,
A11.0,151,Nilsin,1,,
A11.0,152,Nimbadi Guggulu,3,,
A11.0,153,Nirocil,2,,
A11.0,154,Nisa Amalaki,2,,
A11.0,155,Nucart OA,1,,
A11.0,156,Nuro - XT,3,,
A11.0,157,OT Charge,6,,
A11.0,158,Oushadha 2,1,,
A11.0,159,Oushadha 8,1,,
A11.0,160,Padabhyanga,1,,
A11.0,161,Palsinuron,6,,
A11.0,162,Panamrutham,1,,
A11.0,163,Panchamrita Loha Guggulu,3,,
A11.0,164,Panchamruta Parpati,2,,
A11.0,165,Panchavalkala,14,,
A11.0,166,Panchavalkala Kashaya,23,,
A11.0,167,Pathyakshadhathryadi,2,,
A11.0,168,Patolamooladi,2,,
A11.0,169,Pentaphyte P,1,,
A11.0,170,Per Rectal Examination,2,,
A11.0,171,Phalathrika,2,,
A11.0,172,Phanta,1,,
A11.0,173,Pichu,1,,
A11.0,174,Pilex,16,,
A11.0,175,Pilocid Gel,27,,
A11.0,176,Pilocid,14,,
A11.0,177,Pinda,1,,
A11.0,178,Pittashekhar,2,,
A11.0,179,Posex,13,,
A11.0,180,Prabhanjanam,2,,
A11.0,181,Prandhara,1,,
A11.0,182,Prasaranyadi,2,,
A11.0,183,Pravala Panchamrutham Mouktik,1,,
A11.0,184,Protect D,1,,
A11.0,185,Prunil Ointment,1,,
A11.0,186,Prunilol,1,,
A11.0,187,Psorakot,1,,
A11.0,188,Punaranavadi,2,,
A11.0,189,Punarnava Mandor,1,,
A11.0,190,Punarnavasavam,1,,
A11.0,191,Pyroflex Gel,2,,
A11.0,192,R G,1,,
A11.0,193,Ramabana,1,,
A11.0,194,RasnaSapthakam,6,,
A11.0,195,Rasnadi,1,,
A11.0,196,Rasnaerandadi,10,,
A11.0,197,Rectone,3,,
A11.0,198,Reosto,1,,
A11.0,199,"Rubber Catheter 8""""",3,,
A11.0,200,Rumalaya Forte,1,,
A11.0,201,Rumastal Forte,7,,
A11.0,202,Sahacharadi,5,,
A11.0,203,Sallaki,2,,
A11.0,204,Sallaki M R,4,,
A11.0,205,Saraswatha,1,,
A11.0,206,Sathadautham,3,,
A11.0,207,Septec,1,,
A11.0,208,Shadolite,1,,
A11.0,209,Shashtika,1,,
A11.0,210,Sheethasudha,3,,
A11.0,211,Shirahshooladi Vajra,1,,
A11.0,212,Shiva,1,,
A11.0,213,Shodhaka,2,,
A11.0,214,Shoolari,1,,
A11.0,215,Shudha Guggulu,1,,
A11.0,216,Sidharthaka Snana,1,,
A11.0,217,Sinol,1,,
A11.0,218,Sooktyn,2,,
A11.0,219,Soothashekar Plain,1,,
A11.0,220,Soothashekar Gold,2,,
A11.0,221,Soothashekar,1,,
A11.0,222,Spl Saindhava,1,,
A11.0,223,Step,1,,
A11.0,224,Sthoulyahara,1,,
A11.0,225,Stira,1,,
A11.0,226,Styplon,2,,
A11.0,227,Sudhabala,1,,
A11.0,228,Sukumaram,3,,
A11.0,229,Sunarin,4,,
A11.0,230,Susandhi Plus,1,,
A11.0,231,Swadishta Virechana,7,,
A11.0,232,Swamala Compound,1,,
A11.0,233,Swasamrutham,1,,
A11.0,234,Sweda-Bashpa(Steam Bath),1,,
A11.0,235,Sweda-JPS(Narangakizhi)-Ekanga,1,,
A11.0,236,Sweda-JPS(Narangakizhi)-Sarvanga,1,,
A11.0,237,Sweda-Nadi-Ekanga(medicated),2,,
A11.0,238,Sweda-Nadi-Ekanga,1,,
A11.0,239,Sweda-Nadi-Sarvanga (medicated),1,,
A11.0,240,Sweda-Nadi-Sarvanga,1,,
A11.0,241,Sweda-PPS(Elakizhi)-Ardhanga,2,,
A11.0,242,Sweda-SSPS(Mamsa Navara Kizhi) Ekanga,1,,
A11.0,243,Sweda-SSPS(Navara Kizhi)-Ekanga,1,,
A11.0,244,Sweda-SSPS(Navara Kizhi)-Netra,1,,
A11.0,245,Syringe,1,,
A11.0,246,Tankan,2,,
A11.0,247,Tapyadi Loha,1,,
A11.0,248,Tarpanam-Netra,1,,
A11.0,249,Thikthakam,1,,
A11.0,250,Thimiranjanam,1,,
A11.0,251,Thriphaladi,2,,
A11.0,252,Trayodasanga Guggulu,4,,
A11.0,253,Trayodasanga Guggulu DS,3,,
A11.0,254,Trichup,1,,
A11.0,255,Trimpil,1,,
A11.0,256,Trinapancha Moola,2,,
A11.0,257,Triphala,1,,
A11.0,258,Triphala Guggulu,12,,
A11.0,259,Triphala Guggulu DS,4,,
A11.0,260,Trivril,25,,
A11.0,261,Ural,1,,
A11.0,262,Urtiplex,1,,
A11.0,263,Useera,1,,
A11.0,264,Varanadi,4,,
A11.0,265,Varanasavam,1,,
A11.0,266,Vasaguloochyadi,1,,
A11.0,267,Vasant Kusumakar Gold,1,,
A11.0,268,Vasti-Anuvasana,1,,
A11.0,269,Vasti-Asthapana-Ksheera,1,,
A11.0,270,Vasti-Greeva,1,,
A11.0,271,Vasti-Janu (Both),1,,
A11.0,272,Vasti-Kati,3,,
A11.0,273,Vayu,3,,
A11.0,274,Vidangarishtam,1,,
A11.0,275,Vilwadi,1,,
A11.0,276,Virechana-Nitya,1,,
A11.0,277,Viscovas,1,,
A11.0,278,Vrikshamla,2,,
A11.0,279,Vyoshadi,1,,
A11.0,280,Yashtimadhu,4,,
A11.0,281,Yoga session,2,,
A11.0,282,Zeal,1,,
A11.0,283,Zeotone Gel,1,,
A11.0,284,Dressing,2,,
A11.0,285,Sanka,1,,
A11.1,1,Abhraloha,1,S14.3,2
A11.1,2,Arogyavardhini,2,MS G1.0,1
A11.1,3,Asanadi,1,V2.23,3
A11.1,4,Ashwagandha,1,A11.1,5
A11.1,5,Asnavilwadi,1,V1.0,2
A11.1,6,Bocomo Forte,1,N4.0,1
A11.1,7,Gandhaka,1,S18.0,1
A11.1,8,IHC Yavakshara,1,K4.14,1
A11.1,9,Kalyanakam,1,S14.7,1
A11.1,10,Kanchanara Guggulu,1,S17.1,1
A11.1,11,Kusumolin,1,V2.63,1
A11.1,12,Laghu Malini Vasanth,1,S15.41,1
A11.1,13,Mahamanjishtadi,1,K4.0,1
A11.1,14,Pinda,1,N2.18,1
A11.1,15,Triphala Guggulu,1,S14.21,1
A11.1,16,Trivril,1,,
A11.1,17,Varanasavam,1,,
A11.1,18,Wart excision,1,,
A11.10,1,Abhayarishtam,1,A5.0,1
A11.10,2,Agasthyahareethaki,1,S13.11,3
A11.10,3,Agnikarma(Corn/Skin tags/Calcaneal spur)),1,S4.0,1
A11.10,4,Anal Dilatation / Anal Infilteration / Dressing,1,A11.10,7
A11.10,5,Avagaham Ekanga,1,V2.2,1
A11.10,6,Avipathi,1,A11.0,2
A11.10,7,Chirivilwadi,3,P5.0,1
A11.10,8,Cutis Cream,1,k12.0,1
A11.10,9,Dasamoolarishtam,1,V2.36,2
A11.10,10,G T,1,A12.1,1
A11.10,11,Gandhaka,2,V2.0,1
A11.10,12,Hareetaki Abhaya,1,K10.38A,1
A11.10,13,Hinguvachadi,1,N2.1,1
A11.10,14,Kamadudha,1,S2.10,2
A11.10,15,Kamadugha Plain,1,V1.0,1
A11.10,16,Kanakayana,3,S15.38,1
A11.10,17,Kottamchukkadi,1,N4.50.1.5,1
A11.10,18,Ksharakarma,1,G10.0,1
A11.10,19,Kusumolin,1,V2.63,1
A11.10,20,Kutajarishtam,1,N4.40.20.0,1
A11.10,21,Lepam Ekanga,1,,
A11.10,22,Major Surgical/ParaSurgical Procedure,1,,
A11.10,23,OT Charge,1,,
A11.10,24,Per Rectal Examination,1,,
A11.10,25,Pilex,4,,
A11.10,26,Pilsowin,1,,
A11.10,27,Posex,2,,
A11.10,28,Prakruti Analysis,1,,
A11.10,29,Raktastambhak,2,,
A11.10,30,Rumalaya Forte,1,,
A11.10,31,Shwaskuthar,1,,
A11.10,32,Sunetra,1,,
A11.10,33,Sweda-PPS(Elakizhi)-Ekanga,1,,
A11.10,34,Thimiranjanam,1,,
A11.10,35,Triphala Guggulu,1,,
A11.10,36,Triphala Guggulu DS,1,,
A11.10,37,Vasti-Kati,1,,
A11.16,1,Amodini,1,A11.0,1
A11.16,2,Anuloma DS,1,V2.0,1
A11.16,3,Aragwadhadi,1,A11.16,1
A11.16,4,Arsho-Med Plus,1,V16.0,1
A11.16,5,Brihatyadi,1,k12.9,1
A11.16,6,Kautajadi Shilajit,1,,
A11.16,7,Sudhabala,1,,
A11.16,8,Sukumaram,1,,
A11.16,9,Swasamrutham,1,,
A11.16,10,Vasaguloochyadi,1,,
A11.17,1,Arshacare,1,A11.17,1
A11.17,2,Panchavalkala Kashaya,1,K10.38A,1
A11.17,3,Pilocid Gel,1,K2.0,1
A11.17,4,Posex,1,V2.36,1
A11.17,5,Swadishta Virechana,1,,
A11.18,1,Abhayarishtam,1,A11.18,3
A11.18,2,Bala,2,V2.63,1
A11.18,3,Chandraprabha,1,S16.30.0,1
A11.18,4,Changarayadi,2,M2.0,1
A11.18,5,Chirivilwadi,2,A3.0,1
A11.18,6,Diabecon DS,1,M13.0,1
A11.18,7,Gugguluthiktakam,1,,
A11.18,8,Jathyadi,1,,
A11.18,9,Nisa Amalaki,1,,
A11.18,10,Per Vaginal Examination,1,,
A11.18,11,Triphala Guggulu DS,1,,
A11.18,12,Vasti-Matra,1,,
A11.2,1,Arshopy,1,A11.2,1
A11.2,2,Gandhaka,1,A2.0,1
A11.2,3,Panchavalkala Kashaya,1,,
A11.2,4,Triphala Guggulu,1,,
A11.2,5,Trivril,1,,
A11.3,1,Amlant,1,M2.0,1
A11.3,2,G T,1,S16.0,1
A11.3,3,Khadirarishtam,1,M18.11.4,1
A11.3,4,Kottamchukkadi,1,S2.19.1,1
A11.3,5,Ksharakarma,1,B5,1
A11.3,6,Panchavalkala Kashaya,1,K4.19,1
A11.3,7,Protect D,1,M13.0,1
A11.3,8,,,N4.10,1
A11.3,9,,,S2.10,1
A11.3,10,,,A11.0,1
A11.3,11,,,K10.29,1
A11.3,12,,,A6.0,1
A11.3,13,,,V2.63,1
A11.3,14,,,K10.38A,1
A11.3,15,,,A11.3,1
A11.3,16,,,S16.20.8,1
A11.3,17,,,V11.7,1
A11.3,18,,,V2.23,1
A11.3,19,,,S13.11,1
A11.3,20,,,A3.0,1
A11.3,21,,,V2.36,1
A11.3,22,,,K9.0,1
A11.3,23,,,S16.10,1
A11.3,24,,,Y8.13,1
A11.3,25,,,S14.21,1
A11.4,1,Chandraprabha,1,S13.11,1
A11.4,2,Palsinuron,1,V2.10,1
A11.4,3,Sahacharadi,1,A3.0,1
A11.4,4,Vishamushti,1,S14.4,1
A11.4,5,,,A11.4,1
A11.8,1,Dasamoolarishtam,1,V2.0,1
A11.8,2,Hinguvachadi,1,S14.1,1
A11.8,3,Myostal,1,N4.0,1
A11.8,4,,,A9.2,1
A11.8,5,,,A11.8,1
A11.8,6,,,U2.4,1
A11.8,7,,,V13.1.0,1
A11.9,1,Avipathi,1,A11.9,1
A11.9,2,Chitrakadi,1,A5.0,1
A11.9,3,Gandhaka,1,S15.42,1
A11.9,4,Godhanti,1,,
A11.9,5,Triphala Guggulu,1,,
A12.0,1,Abhraloha,2,K2.0,5
A12.0,2,Abhyanga,7,S16.1,14
A12.0,3,Abhyanga-Ekanga,1,K3.0,4
A12.0,4,Abhyanga-Shiro,3,V2.2,2
A12.0,5,Acnovin,1,Y2,1
A12.0,6,Acupuncture,1,S15.36,1
A12.0,7,Agasthya,1,V2.63,17
A12.0,8,Agnitundi,1,G9.3,1
A12.0,9,Akshabeejadi,1,V2.0,20
A12.0,10,Aloes Compound,2,J1.0,5
A12.0,11,Amlant,1,A12.0,104
A12.0,12,Amlapitta Mishrana,3,S15.38,1
A12.0,13,Amritha Satwa,1,V2.21,1
A12.0,14,Amruthadi Guggulu DS,1,S16.20.0,11
A12.0,15,Anjana,1,S13.19,2
A12.0,16,Arnopen,2,S16.10,7
A12.0,17,Asanadi,1,k12.0,3
A12.0,18,Ashotone,1,V1.0,3
A12.0,19,Ashta,1,K4.19,2
A12.0,20,Asokarishtam,4,A4.0,2
A12.0,21,Avipathi,1,A7A.0,1
A12.0,22,Avipathikar,1,A6.0,9
A12.0,23,Ayaskrithy,2,k12.16,3
A12.0,24,Ayursulin,3,S2.10,3
A12.0,25,Bala,1,S17.0,2
A12.0,26,Bonton,2,MS G1.0,8
A12.0,27,Brahmi,2,N2.21.0,5
A12.0,28,Cardimap,1,S14.1,1
A12.0,29,Cardorium Plus,3,P5.0,3
A12.0,30,Catropa,1,S2.14,1
A12.0,31,Cephagarine,1,O1.4,2
A12.0,32,Cervilon,1,N4.1,1
A12.0,33,Chandanadi,1,K9.4,1
A12.0,34,Chandrakala,2,A7.0,1
A12.0,35,Chandraprabha,16,S14.0,7
A12.0,36,Chitrakadi,2,M6.27,1
A12.0,37,Coligo,13,V2.23,21
A12.0,38,Cruel Plus,1,G9.10,1
A12.0,39,Cystone,2,N4.0,9
A12.0,40,Dadimadi,1,G9.0,2
A12.0,41,Darsana,3,MS T1.0,4
A12.0,42,Dasamoola,1,S16.0,20
A12.0,43,Dasamoolarishtam,4,M10.1,14
A12.0,44,Dasanga,1,N2.21.2,2
A12.0,45,Dazzle Cool Oint,2,V5.0,2
A12.0,46,Decrin Plus,6,S16.29.1,4
A12.0,47,Dhanwantaram (101),2,V2.9,2
A12.0,48,Dhanwantaram,14,P2.0,7
A12.0,49,Dhara-Dhanyamala-Sarvanga,2,G10.0,1
A12.0,50,Dhara-Taila-Shiro,1,V5.1,2
A12.0,51,Dhatri Loha,1,M10.0,4
A12.0,52,Dietetics Rounds,7,K10.52.0,1
A12.0,53,Dologran,1,S16.20.8,3
A12.0,54,Drakshadi,1,V2.10,11
A12.0,55,Draksharishtam,2,G9.7,5
A12.0,56,Evecare,4,Y8.13,2
A12.0,57,Ferberry,2,M18.11.2,2
A12.0,58,Flexofen,2,J1.6,1
A12.0,59,Flexy,2,K10.38A,4
A12.0,60,G Fit Slim Tea,1,P5.4,1
A12.0,61,Gasex,3,A6.2,1
A12.0,62,Gaytarin,2,S3.3,3
A12.0,63,Giloya Satwa,2,S14.21,18
A12.0,64,Godhanti,3,A13.0,3
A12.0,65,Gokshura,2,B3.0,2
A12.0,66,Gokshuradi Guggulu,1,k12.9,1
A12.0,67,Guduchi,1,V3.2,2
A12.0,68,Gycon,11,V3.0,3
A12.0,69,Gynakot,1,V2.70,1
A12.0,70,Gynoveda,2,M2.0,9
A12.0,71,Hamsa Pathyadi,1,A8.0,1
A12.0,72,Hemostop,1,H2.0,1
A12.0,73,Himcospaz,6,S16.7,2
A12.0,74,Hinguthariguna,1,K10.8,1
A12.0,75,Hinguvachadi,2,M18.9.0,1
A12.0,76,Hingwastaka,1,S13.11,7
A12.0,77,IHC AsokaTwak,2,G9.6,1
A12.0,78,IHC Guduci Fresh,1,K4.20,1
A12.0,79,IHC Lodhra,4,K9.0,6
A12.0,80,IHC Mudga,1,M12.0,1
A12.0,81,IHC Punarnava,3,G8.0,2
A12.0,82,IHC Sariba,1,S14.17,1
A12.0,83,IHC Satavari,2,V2.75,1
A12.0,84,IHC Sigruadi,1,M13.0,1
A12.0,85,IHC Triphala,1,A12.3,1
A12.0,86,IHC Yashtimadhu,1,K10.32,1
A12.0,87,Indukantam,3,V2.36,2
A12.0,88,Jeerakadhyarishtam,2,P3.0,2
A12.0,89,K M,1,V3.3,2
A12.0,90,Kaisora Guggulu DS,1,V2.34.0,1
A12.0,91,Kalasaakadi,1,S16.9,1
A12.0,92,Kalyanaka KS (Varavisaladi),2,S16.30.26,2
A12.0,93,Kalyanakam,1,M14.0,1
A12.0,94,Kamadugha Mouktik,2,A9.2,3
A12.0,95,Kamadugha Plain,2,A12.1,7
A12.0,96,Kanaasathahwadi,4,S4.0,2
A12.0,97,Kanakasavam,1,A2.0,2
