all_diag,dname
C SPONDYLITIS L,sec011_var001_Allopathic Diagnosis
DM T2,sec011_var001_Allopathic Diagnosis
DMT2,sec011_var001_Allopathic Diagnosis
INFECTED CYST,sec011_var001_Allopathic Diagnosis
OSTEOARTHRITIS,sec011_var001_Allopathic Diagnosis
UTERINE PROLAPSE,sec011_var001_Allopathic Diagnosis
MIGRAINE HEADACHE,sec011_var001_Allopathic Diagnosis
HYPOTHYROIDISM,sec011_var001_Allopathic Diagnosis
ANC,sec011_var001_Allopathic Diagnosis
LUMBAR SPONDYLOSIS WITH PARASPINAL SPASM,sec011_var001_Allopathic Diagnosis
OBESITY,sec011_var001_Allopathic Diagnosis
ALLERGIC RHINITIS,sec011_var001_Allopathic Diagnosis
GERD,sec011_var001_Allopathic Diagnosis
ENCYSTED HYDROCELE,sec011_var001_Allopathic Diagnosis
DIABETES TYPE-1,sec011_var001_Allopathic Diagnosis
TENDINITIS BRACHO RADIALIS,sec011_var001_Allopathic Diagnosis
ABD POL LONGUS,sec011_var001_Allopathic Diagnosis
BRIEVIS.,sec011_var001_Allopathic Diagnosis
PES PLANUS.,sec011_var001_Allopathic Diagnosis
STRAIN ON MENISCI -R KNEE.,sec011_var001_Allopathic Diagnosis
OA WITH OSTEOPENIA,sec011_var001_Allopathic Diagnosis
GENERAL,sec011_var001_Allopathic Diagnosis
METABOLIC DISEASE,sec011_var001_Allopathic Diagnosis
ENTERIC FEVER,sec011_var001_Allopathic Diagnosis
SOFT TISSUE INJURY (,sec011_var001_Allopathic Diagnosis
SPRAIN),sec011_var001_Allopathic Diagnosis
HYPERTRIGLYCERIDEMIA,sec011_var001_Allopathic Diagnosis
PYREXIA FOR EVALUATION,sec011_var001_Allopathic Diagnosis
TYPHOID,sec011_var001_Allopathic Diagnosis
UTI,sec011_var001_Allopathic Diagnosis
ANXIETY NEUROSIS,sec011_var001_Allopathic Diagnosis
NON SPECIFIC MYALGIA,sec011_var001_Allopathic Diagnosis
CVA,sec011_var001_Allopathic Diagnosis
PUBERY MENORRAGIA,sec011_var001_Allopathic Diagnosis
PYREXIA,sec011_var001_Allopathic Diagnosis
CALF PAIN,sec011_var001_Allopathic Diagnosis
SLUGGISGH BOWEL.,sec011_var001_Allopathic Diagnosis
G B STONE,sec011_var001_Allopathic Diagnosis
CHOLELITHIASIS,sec011_var001_Allopathic Diagnosis
GB STONE,sec011_var001_Allopathic Diagnosis
ECZEMA,sec011_var001_Allopathic Diagnosis
SINUSITIS,sec011_var001_Allopathic Diagnosis
HTN,sec011_var001_Allopathic Diagnosis
FEVER,sec011_var001_Allopathic Diagnosis
RADICULOPATHY,sec011_var001_Allopathic Diagnosis
SHOULDER PAIN-MYALGIA,sec011_var001_Allopathic Diagnosis
TENIA,sec011_var001_Allopathic Diagnosis
SHOULDER PAIN,sec011_var001_Allopathic Diagnosis
NEURITIS,sec011_var001_Allopathic Diagnosis
OSTEOPOROSIS,sec011_var001_Allopathic Diagnosis
PAIN IN FOOT -HIGH ARCH,sec011_var001_Allopathic Diagnosis
STARIN ON MEDIAL COLLATERAL LIGAMENT,sec011_var001_Allopathic Diagnosis
OA -B/LWITH NON SPECIFIC MYALGIA OF L THIGH,sec011_var001_Allopathic Diagnosis
OA-KNEES,sec011_var001_Allopathic Diagnosis
OA -KNEES,sec011_var001_Allopathic Diagnosis
SENSORY NEUROPATHY (EARLY),sec011_var001_Allopathic Diagnosis
OA KNEE,sec011_var001_Allopathic Diagnosis
SENSORY NEUROPATHY,sec011_var001_Allopathic Diagnosis
PAIN IN THE TOES,sec011_var001_Allopathic Diagnosis
BURNING FEET FOR EVALUATION,sec011_var001_Allopathic Diagnosis
OA BURNING FEET FOR EVALUATION,sec011_var001_Allopathic Diagnosis
PARANCHIA,sec011_var001_Allopathic Diagnosis
- FUNGAL,sec011_var001_Allopathic Diagnosis
OA- KNEES,sec011_var001_Allopathic Diagnosis
DEQUIR-VEINS SYNDROME.,sec011_var001_Allopathic Diagnosis
BLEPHARITIS,sec011_var001_Allopathic Diagnosis
SWELLING L FOOT FOR EVALUATION,sec011_var001_Allopathic Diagnosis
VULVO-VAGINITIS,sec011_var001_Allopathic Diagnosis
CERVICAL STRAIN,sec011_var001_Allopathic Diagnosis
LRTI,sec011_var001_Allopathic Diagnosis
LRTI/ILD,sec011_var001_Allopathic Diagnosis
HERPES SIMPLEX,sec011_var001_Allopathic Diagnosis
DIABETES,sec011_var001_Allopathic Diagnosis
DIABETES TYPE-2,sec011_var001_Allopathic Diagnosis
MONO-ARTICULAR ARTHRITIS,sec011_var001_Allopathic Diagnosis
DIARRHOEA,sec011_var001_Allopathic Diagnosis
LCL STRAIN,sec011_var001_Allopathic Diagnosis
MENISCI TEAR LEFT LEG,sec011_var001_Allopathic Diagnosis
HYPOMENORRHOEA,sec011_var001_Allopathic Diagnosis
POST CA - STATUS,sec011_var001_Allopathic Diagnosis
DIABETIC GANGRENE,sec011_var001_Allopathic Diagnosis
ONSET OF GANGRENE,sec011_var001_Allopathic Diagnosis
LICHEN PLANUS,sec011_var001_Allopathic Diagnosis
URTICARIA,sec011_var001_Allopathic Diagnosis
TENOSINOVITIS,sec011_var001_Allopathic Diagnosis
MIGRAINE,sec011_var001_Allopathic Diagnosis
SINUSITS,sec011_var001_Allopathic Diagnosis
DIABETIC GASTROPATHY,sec011_var001_Allopathic Diagnosis
MYALGIA,sec011_var001_Allopathic Diagnosis
PAIN IN THE FLANKS FOR EVALUATION,sec011_var001_Allopathic Diagnosis
DIABETES TYPE1,sec011_var001_Allopathic Diagnosis
TENOSYNOVITIS,sec011_var001_Allopathic Diagnosis
MOLLLASCUM CONTAGIOUSM,sec011_var001_Allopathic Diagnosis
HYPERACIDITY,sec011_var001_Allopathic Diagnosis
CERVICAL SPONDYLOSIS -STENOSIS,sec011_var001_Allopathic Diagnosis
TRAUMATIC SHOULDER PAIN- SEQUEL,sec011_var001_Allopathic Diagnosis
LEFT SHOULDER FOR EVALUATION,sec011_var001_Allopathic Diagnosis
1. FATTY LIVER,sec011_var001_Allopathic Diagnosis
2.BPH- GR -1,sec011_var001_Allopathic Diagnosis
LETHARGY,sec011_var001_Allopathic Diagnosis
CHRONIC CONSTIPATION,sec011_var001_Allopathic Diagnosis
LUMBAGO,sec011_var001_Allopathic Diagnosis
COUGH FOR EVALUATION,sec011_var001_Allopathic Diagnosis
ABD DISCOMFORT FOR EVALUATION,sec011_var001_Allopathic Diagnosis
HEPATOMEGALY,sec011_var001_Allopathic Diagnosis
INSOMNIA/,sec011_var001_Allopathic Diagnosis
MYALGIA- NON SPECIFIC,sec011_var001_Allopathic Diagnosis
OA BURSITIS,sec011_var001_Allopathic Diagnosis
OA KNEE JOINT,sec011_var001_Allopathic Diagnosis
SACRO-ILIATIS (LT),sec011_var001_Allopathic Diagnosis
STERNOCLEIDOMASTOID MUSCLE SPAM,sec011_var001_Allopathic Diagnosis
REACTIVE ARTHRITIS(POST CHICKEN GUNEA),sec011_var001_Allopathic Diagnosis
FIBROMYALGIA,sec011_var001_Allopathic Diagnosis
FIBROMYALGIA WITH HYPERPIGMENTATION,sec011_var001_Allopathic Diagnosis
HYPERPIGMENTATION,sec011_var001_Allopathic Diagnosis
LUMBOSACRAL STARIN,sec011_var001_Allopathic Diagnosis
SACROILITIS,sec011_var001_Allopathic Diagnosis
HYDRADENITIS SUPPURATIVA,sec011_var001_Allopathic Diagnosis
DMT2 WITH OBESITY & HYPOTHYRODISM,sec011_var001_Allopathic Diagnosis
DMT2 WITH OBESITY,sec011_var001_Allopathic Diagnosis
STRAIN ON CRUCIATE LIGAMENT,sec011_var001_Allopathic Diagnosis
STRAIN ON MENISCII,sec011_var001_Allopathic Diagnosis
CRUCIATE LIGAMENT INJURY,sec011_var001_Allopathic Diagnosis
EVOLVING STROKE.,sec011_var001_Allopathic Diagnosis
FUNGAL INFECTION.,sec011_var001_Allopathic Diagnosis
MUSCULAR DYSTROPHY,sec011_var001_Allopathic Diagnosis
DM T1,sec011_var001_Allopathic Diagnosis
DM T 1,sec011_var001_Allopathic Diagnosis
BURNING MICTURITION FOR EVALUATION,sec011_var001_Allopathic Diagnosis
LOW BACK ACHE,sec011_var001_Allopathic Diagnosis
LBA WITH OA,sec011_var001_Allopathic Diagnosis
PATIENT OF KIDNEY TRANSPLANT,sec011_var001_Allopathic Diagnosis
WEIGHT GAIN,sec011_var001_Allopathic Diagnosis
ANXIETY DISORDER,sec011_var001_Allopathic Diagnosis
SCIATICA,sec011_var001_Allopathic Diagnosis
PARASPINAL SPASM,sec011_var001_Allopathic Diagnosis
VATAVYADHI,sec011_var001_Allopathic Diagnosis
MYALGIA- STRAIN INDUCED,sec011_var001_Allopathic Diagnosis
MSA,sec011_var001_Allopathic Diagnosis
CEREBELLAR ATROPY,sec011_var001_Allopathic Diagnosis
PAIN ABD FOR EVALUATION,sec011_var001_Allopathic Diagnosis
PAIN ABDOMEN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
JOINT PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
LATERAL COLLATERAL LIGAMENTAL TEAR,sec011_var001_Allopathic Diagnosis
CHRONIC COUGH FOR EVALUATION,sec011_var001_Allopathic Diagnosis
CERVICAL SPONYLOSIS,sec011_var001_Allopathic Diagnosis
OA-KNEE,sec011_var001_Allopathic Diagnosis
LUMBAR CANAL STENOSIS,sec011_var001_Allopathic Diagnosis
SUBACROMINAL BURSITIS WITH EFFUSION,sec011_var001_Allopathic Diagnosis
SUPRASPINATUS TENDENOSIS,sec011_var001_Allopathic Diagnosis
PMLE,sec011_var001_Allopathic Diagnosis
SUPRA SPINATUS TENDONITIS,sec011_var001_Allopathic Diagnosis
SUPRASPINATUS TEDINITIS - RESOLVING,sec011_var001_Allopathic Diagnosis
PEDAL OEDEMA FOR EVALUATION.,sec011_var001_Allopathic Diagnosis
COUGH- URTI,sec011_var001_Allopathic Diagnosis
FROZEN SHOULDER/ROTATOR CUFF SYNDROME,sec011_var001_Allopathic Diagnosis
FROZEN SHOULDER/ ROTATORY CUFF SYNDROME,sec011_var001_Allopathic Diagnosis
POLYARTHROLGIA,sec011_var001_Allopathic Diagnosis
TYPE 2 DM,sec011_var001_Allopathic Diagnosis
BRACHIORADIALIS STRAIN,sec011_var001_Allopathic Diagnosis
TREPEZIUS SPASM,sec011_var001_Allopathic Diagnosis
LATISSIMUS DORSI,sec011_var001_Allopathic Diagnosis
PCOD,sec011_var001_Allopathic Diagnosis
DELTOID STRAIN,sec011_var001_Allopathic Diagnosis
LEG PAIN FOR EVALUATION ( MYALGIA),sec011_var001_Allopathic Diagnosis
FECAL INCONTINENCE FOR EVALUATION,sec011_var001_Allopathic Diagnosis
FROZEN SHOULDER,sec011_var001_Allopathic Diagnosis
APPENDICITIS,sec011_var001_Allopathic Diagnosis
IBS,sec011_var001_Allopathic Diagnosis
CD WITH LICHENIFICATION,sec011_var001_Allopathic Diagnosis
POLYARTHRALGIA,sec011_var001_Allopathic Diagnosis
POLY MYALGIA,sec011_var001_Allopathic Diagnosis
POST FEVER JOINT DISCOMFORT FOR EVALUATION,sec011_var001_Allopathic Diagnosis
C SPONDYLITIS,sec011_var001_Allopathic Diagnosis
SKIN LESIONS FOR EVALUATION,sec011_var001_Allopathic Diagnosis
INJURY TO MED COL LIG,sec011_var001_Allopathic Diagnosis
VIRAL FEVER,sec011_var001_Allopathic Diagnosis
JANU SHULA,sec011_var001_Allopathic Diagnosis
SHOPHA,sec011_var001_Allopathic Diagnosis
1 ST DEGREE UTERINE PROLAPSE,sec011_var001_Allopathic Diagnosis
MUSCLE TWITCHING FOR EVALUATION,sec011_var001_Allopathic Diagnosis
L SPONDYLITIS,sec011_var001_Allopathic Diagnosis
VERTIGO -POSTURAL,sec011_var001_Allopathic Diagnosis
RHEUMATOID ARTHRITIS,sec011_var001_Allopathic Diagnosis
LUMBAR SPONDYLITIS,sec011_var001_Allopathic Diagnosis
DELAYED MILE STONE.,sec011_var001_Allopathic Diagnosis
DIABETES MELLITUS .,sec011_var001_Allopathic Diagnosis
SHIN SPLINT SYNDROME,sec011_var001_Allopathic Diagnosis
MYASTHENIA GRAVIS,sec011_var001_Allopathic Diagnosis
ATAXIC SPEECH,sec011_var001_Allopathic Diagnosis
ATAXIA OF SPEECH,sec011_var001_Allopathic Diagnosis
OA- ADVANCED,sec011_var001_Allopathic Diagnosis
LATERAL COLLATRAL LIGAMENT STRAIN,sec011_var001_Allopathic Diagnosis
DM  WITH PERIPHERAL NEUROPATHY,sec011_var001_Allopathic Diagnosis
RVF,sec011_var001_Allopathic Diagnosis
LVF,sec011_var001_Allopathic Diagnosis
CRD,sec011_var001_Allopathic Diagnosis
THIGH PAIN,sec011_var001_Allopathic Diagnosis
CVA/ EARLY ENCEPHALOPATHY,sec011_var001_Allopathic Diagnosis
CVA /EARLY ENCEPHALOPATHY,sec011_var001_Allopathic Diagnosis
WEAKNESS FOR EVALUATION,sec011_var001_Allopathic Diagnosis
AGE RELATED CARDIC CHANGES.,sec011_var001_Allopathic Diagnosis
BPH,sec011_var001_Allopathic Diagnosis
PROCTITIS,sec011_var001_Allopathic Diagnosis
DUODENITIS,sec011_var001_Allopathic Diagnosis
PROSTATE(25CC-100CCPVR),sec011_var001_Allopathic Diagnosis
RENAL CALCULI,sec011_var001_Allopathic Diagnosis
CHOLELITHEAISIS,sec011_var001_Allopathic Diagnosis
CHOLELISTHASIS,sec011_var001_Allopathic Diagnosis
GB CALCULI,sec011_var001_Allopathic Diagnosis
TIA,sec011_var001_Allopathic Diagnosis
MONOPLEGIA- RESOLVED.,sec011_var001_Allopathic Diagnosis
POLYARTHRITIS.,sec011_var001_Allopathic Diagnosis
LRI,sec011_var001_Allopathic Diagnosis
LARYNGITIS,sec011_var001_Allopathic Diagnosis
CELLULITIS,sec011_var001_Allopathic Diagnosis
TRACHIAITIS,sec011_var001_Allopathic Diagnosis
ESSENTIAL HYPERTENSION,sec011_var001_Allopathic Diagnosis
OA- SUBTALAR,sec011_var001_Allopathic Diagnosis
MIGRINE,sec011_var001_Allopathic Diagnosis
PID,sec011_var001_Allopathic Diagnosis
POST FEVER MYALGIA,sec011_var001_Allopathic Diagnosis
STEROID ABUSE,sec011_var001_Allopathic Diagnosis
PID/PERI-MENOPAUSAL SYMPTOMS,sec011_var001_Allopathic Diagnosis
PERI-MENOPAUSAL SYMPTOMS/ PID,sec011_var001_Allopathic Diagnosis
PERI-MENOPAUSAL SYMPTOMS,sec011_var001_Allopathic Diagnosis
PERI MENOPAUSAL SYMPTOMS,sec011_var001_Allopathic Diagnosis
FISSURE IN ANO,sec011_var001_Allopathic Diagnosis
CALCANEAL SPUR,sec011_var001_Allopathic Diagnosis
ALLERGY,sec011_var001_Allopathic Diagnosis
MUSCULAR PAIN,sec011_var001_Allopathic Diagnosis
GRIDHRASI,sec011_var001_Allopathic Diagnosis
MUSCLE STRAIN - RHOMBOIDUS MAJOR,sec011_var001_Allopathic Diagnosis
MINOR,sec011_var001_Allopathic Diagnosis
LBA OSTEOPENIA,sec011_var001_Allopathic Diagnosis
CVA ( INFARCT LEFT ),sec011_var001_Allopathic Diagnosis
EPILEPSY,sec011_var001_Allopathic Diagnosis
ALZHEIMER'S DISEASE.EPILEPSY,sec011_var001_Allopathic Diagnosis
ALZHIMEIRS DISEASE,sec011_var001_Allopathic Diagnosis
DEMENTIA,sec011_var001_Allopathic Diagnosis
SCABIES,sec011_var001_Allopathic Diagnosis
FLATULANCE,sec011_var001_Allopathic Diagnosis
FIBROMYALGIA-COMPLETERECOVERY,sec011_var001_Allopathic Diagnosis
FIBROMYALGIA - RECOVERED,sec011_var001_Allopathic Diagnosis
PHARYNGITIS,sec011_var001_Allopathic Diagnosis
LATERAL EPICONDYLITIS,sec011_var001_Allopathic Diagnosis
L1 WEDGE COMPRESSION # WITH D12-L1 DISC SPACE REDUCTION,sec011_var001_Allopathic Diagnosis
O.A.,sec011_var001_Allopathic Diagnosis
R.A.,sec011_var001_Allopathic Diagnosis
HEPATITIS,sec011_var001_Allopathic Diagnosis
ASTHMA,sec011_var001_Allopathic Diagnosis
BRONCHIAL ASTHMA,sec011_var001_Allopathic Diagnosis
POTT'S DISEASE,sec011_var001_Allopathic Diagnosis
POTTS SPINE,sec011_var001_Allopathic Diagnosis
EARLY- OA,sec011_var001_Allopathic Diagnosis
PES PLANUS,sec011_var001_Allopathic Diagnosis
LOW BACK PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
CERVICAL SPONDYLITIS WITH RADICULOPATHY,sec011_var001_Allopathic Diagnosis
HEMIPLEGIA,sec011_var001_Allopathic Diagnosis
TRIGGER FINGER,sec011_var001_Allopathic Diagnosis
PSORIASIS,sec011_var001_Allopathic Diagnosis
ARTHRITIS,sec011_var001_Allopathic Diagnosis
TENNIS ELBOW,sec011_var001_Allopathic Diagnosis
OA - ADVANCED,sec011_var001_Allopathic Diagnosis
VASCULAR ULCER-HEALING-DM,sec011_var001_Allopathic Diagnosis
ANXIETY,sec011_var001_Allopathic Diagnosis
BURSITIS OF KNEE JOINT,sec011_var001_Allopathic Diagnosis
OA KNEES,sec011_var001_Allopathic Diagnosis
NUMBNESS OF RIGHT ARM FOR EVALUATION .,sec011_var001_Allopathic Diagnosis
CHRONIC LACUNAR INFARCTS IN LEFT THALAMOCAPSULAR REGION,sec011_var001_Allopathic Diagnosis
LOIN PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
APD BPH OSTEOPENIA DM,sec011_var001_Allopathic Diagnosis
OLD CVA,sec011_var001_Allopathic Diagnosis
GIDDINESS FOR EVALUATION,sec011_var001_Allopathic Diagnosis
PERIPHERAL NEUROPATHY,sec011_var001_Allopathic Diagnosis
CRF,sec011_var001_Allopathic Diagnosis
OA WITH LUMBOSACRAL STRAIN,sec011_var001_Allopathic Diagnosis
PSORIASIS.,sec011_var001_Allopathic Diagnosis
MODERATELY DIFFERENTIATED ADENOCARCINOMA RIGHT LUNG,sec011_var001_Allopathic Diagnosis
STAGE 1 A,sec011_var001_Allopathic Diagnosis
PT1B,sec011_var001_Allopathic Diagnosis
NO MX,sec011_var001_Allopathic Diagnosis
SHOULDER PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
(MODERATELY DIFFERENTIATED ADENOCARCINOMA RIGHT LUNG,sec011_var001_Allopathic Diagnosis
),sec011_var001_Allopathic Diagnosis
POST CA STROKE,sec011_var001_Allopathic Diagnosis
HEPATITIS B +VE,sec011_var001_Allopathic Diagnosis
MENNORHOEGIA,sec011_var001_Allopathic Diagnosis
DYSMENNORHOEA,sec011_var001_Allopathic Diagnosis
PRE DIABETES,sec011_var001_Allopathic Diagnosis
PREDIABETES,sec011_var001_Allopathic Diagnosis
UT FIBROID,sec011_var001_Allopathic Diagnosis
COLITIS,sec011_var001_Allopathic Diagnosis
MULTIPLE LIPOMA,sec011_var001_Allopathic Diagnosis
NEUROFIBROMA,sec011_var001_Allopathic Diagnosis
DM WITH VASCULAR DISEASE LEFT 5TH TOE.,sec011_var001_Allopathic Diagnosis
DM WITH IHD & CRF,sec011_var001_Allopathic Diagnosis
LIVER CIRRHOSIS,sec011_var001_Allopathic Diagnosis
SPLENOMEGALY,sec011_var001_Allopathic Diagnosis
EARLY OA,sec011_var001_Allopathic Diagnosis
UNCONTROLLED DM,sec011_var001_Allopathic Diagnosis
SHIN SPLINT,sec011_var001_Allopathic Diagnosis
THYROID DISEASE,sec011_var001_Allopathic Diagnosis
NEUROPATHY -SENSORY,sec011_var001_Allopathic Diagnosis
DIABETIC CARBUNCLE,sec011_var001_Allopathic Diagnosis
THYROIDISM,sec011_var001_Allopathic Diagnosis
CONSTIPATION,sec011_var001_Allopathic Diagnosis
OA-OTEOPROROSIS,sec011_var001_Allopathic Diagnosis
CARPAL TUNNEL SYNDROME,sec011_var001_Allopathic Diagnosis
PARATENDINITIS,sec011_var001_Allopathic Diagnosis
NEPHROPATHY,sec011_var001_Allopathic Diagnosis
CIRRHOSIS,sec011_var001_Allopathic Diagnosis
FROZEN SHOULDER.,sec011_var001_Allopathic Diagnosis
HYPERCHOLESTREMIA,sec011_var001_Allopathic Diagnosis
IVDP WITH PARASPINAL MUSCLE SPASM,sec011_var001_Allopathic Diagnosis
EPS,sec011_var001_Allopathic Diagnosis
ATOPIC DERMATITIS,sec011_var001_Allopathic Diagnosis
RTA,sec011_var001_Allopathic Diagnosis
OSTEO ARTHRITIS,sec011_var001_Allopathic Diagnosis
GINGIVITIS,sec011_var001_Allopathic Diagnosis
CHRONIC BACKACHE WITH R PARA SPINAL MUSCLE SPASM,sec011_var001_Allopathic Diagnosis
R SIDED SYMPTOMS.,sec011_var001_Allopathic Diagnosis
FUNGAL INFECTION,sec011_var001_Allopathic Diagnosis
PANIC/ANXIETY NEUROSIS,sec011_var001_Allopathic Diagnosis
PROLAPSED PILES,sec011_var001_Allopathic Diagnosis
ACANTHOSIS NIGARICANS,sec011_var001_Allopathic Diagnosis
ACANTHUS GARRICUS.,sec011_var001_Allopathic Diagnosis
ROTATOR CUFF TENDINITIS,sec011_var001_Allopathic Diagnosis
SECONDARY HYPERTENSION,sec011_var001_Allopathic Diagnosis
OA WITH BURSISTIS,sec011_var001_Allopathic Diagnosis
SPONDYLOSIS-LUMBAR,sec011_var001_Allopathic Diagnosis
THYPHOID,sec011_var001_Allopathic Diagnosis
VICHARCHIKA,sec011_var001_Allopathic Diagnosis
HYPER TENSION,sec011_var001_Allopathic Diagnosis
NON SPECIFIC MYALGIA. TINEA,sec011_var001_Allopathic Diagnosis
NON SPECIFIC MYALGIA.,sec011_var001_Allopathic Diagnosis
TINEA,sec011_var001_Allopathic Diagnosis
FISSURE WITH INTERNAL PILES,sec011_var001_Allopathic Diagnosis
TINEA CRURIS,sec011_var001_Allopathic Diagnosis
AYURVEDIC DAIGNOSIS - DADRU,sec011_var001_Allopathic Diagnosis
OBESITY GRADE -1,sec011_var001_Allopathic Diagnosis
POP REMOVAL,sec011_var001_Allopathic Diagnosis
AVASCULAR NECROSIS OF FEMUR,sec011_var001_Allopathic Diagnosis
OA HIP JT,sec011_var001_Allopathic Diagnosis
GASTRITIS.,sec011_var001_Allopathic Diagnosis
ARTHRITIS- TRAUMATIC,sec011_var001_Allopathic Diagnosis
ANKLE SPRAIN - LIGAMENT STARIN.,sec011_var001_Allopathic Diagnosis
ADHIMAMSA-CALCANEAL SPUR-,sec011_var001_Allopathic Diagnosis
SCLERODERMA,sec011_var001_Allopathic Diagnosis
SCELRODERMA,sec011_var001_Allopathic Diagnosis
NON SPECIFIC WEAKNESS OF LEGS,sec011_var001_Allopathic Diagnosis
HEMIPLEGIA.,sec011_var001_Allopathic Diagnosis
POST VIRAL ARTHRAGIA,sec011_var001_Allopathic Diagnosis
ACHIL BURSITIS,sec011_var001_Allopathic Diagnosis
NON SPECIFICMYALGIA,sec011_var001_Allopathic Diagnosis
BURSITIS,sec011_var001_Allopathic Diagnosis
OA WITH JENU VULGUS,sec011_var001_Allopathic Diagnosis
OA WITH JENU VULGUS.,sec011_var001_Allopathic Diagnosis
GOLFERS ELBOW,sec011_var001_Allopathic Diagnosis
FRACTURE - RIGHT GREATER TROCHANTER,sec011_var001_Allopathic Diagnosis
# FEMUR,sec011_var001_Allopathic Diagnosis
POST # HIP -HEALED,sec011_var001_Allopathic Diagnosis
CVA-SUBTHALAMIC BLEED -SEQUEL -REHABILITATAION.,sec011_var001_Allopathic Diagnosis
CVA -,sec011_var001_Allopathic Diagnosis
CVA- POST - RECOVERY PHASE,sec011_var001_Allopathic Diagnosis
LICHEN,sec011_var001_Allopathic Diagnosis
CVA- POST - RECOVERY PHASE LICHEN,sec011_var001_Allopathic Diagnosis
MOTOR SPASTIC QUADRIPLEGIA,sec011_var001_Allopathic Diagnosis
MUSCLE STRAIN,sec011_var001_Allopathic Diagnosis
OBESITY GRADE -2,sec011_var001_Allopathic Diagnosis
MAMSAGATA VATA -PSUDOMUSCULAR DYSTROPHY-,sec011_var001_Allopathic Diagnosis
ACUTE MOTOR AXONAL NEUROAPATHY,sec011_var001_Allopathic Diagnosis
GBS,sec011_var001_Allopathic Diagnosis
GUILLIAN BARRE SYNDROME,sec011_var001_Allopathic Diagnosis
MOTOR AXONAL NEUROPATHY,sec011_var001_Allopathic Diagnosis
RECOVERING GBC WITH HYPOXIC ENCEPHALOPATHY WITH INTELLECTUAL DISABILITY RECOVERING,sec011_var001_Allopathic Diagnosis
DIARREAH,sec011_var001_Allopathic Diagnosis
URINARY INCONTINENCE,sec011_var001_Allopathic Diagnosis
AVASCULAR NECROSIS OF BOTH HIP,sec011_var001_Allopathic Diagnosis
AVN,sec011_var001_Allopathic Diagnosis
L5-S1 DISC HERNIATION,sec011_var001_Allopathic Diagnosis
L4-L5 DISC HERNIATION,sec011_var001_Allopathic Diagnosis
FISTULA IN ANO,sec011_var001_Allopathic Diagnosis
CERVICAL,sec011_var001_Allopathic Diagnosis
CERVICAL SPONDILITIS,sec011_var001_Allopathic Diagnosis
IDDM,sec011_var001_Allopathic Diagnosis
CEREBRAL ATAXIA,sec011_var001_Allopathic Diagnosis
OA-SUBTALAR,sec011_var001_Allopathic Diagnosis
VIRAL ARTHALGIA,sec011_var001_Allopathic Diagnosis
G-1 PROSTATE,sec011_var001_Allopathic Diagnosis
RENAL CALCULI & G-1 PROSTATE,sec011_var001_Allopathic Diagnosis
MAINERS DISEASE,sec011_var001_Allopathic Diagnosis
MEINER'S DISEASE,sec011_var001_Allopathic Diagnosis
STRAIN LAT LIGAMENT -LEFT ANKLE,sec011_var001_Allopathic Diagnosis
