season,Code,description,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017
05 Hemant Rutu,S13.23,Sthaanabhedena Graha - Vaak Graha,,,,,1,4,2,
05 Hemant Rutu,S14.0,Sthaanabhedena Shoola,,,2,32,15,26,23,
05 Hemant Rutu,S14.1,Sthaanabhedena Shoola - Aamaashaya Shoola,,,,,1,2,1,
05 Hemant Rutu,S14.13,Sthaanabhedena Shoola - Gulpha Shoola,,,1,,,2,5,
05 Hemant Rutu,S14.15,Sthaanabhedena Shoola - Hasta Shoola,,,,1,1,,1,
05 Hemant Rutu,S14.16,Sthaanabhedena Shoola - Hrid Shoola,,,,1,,,,
05 Hemant Rutu,S14.17,Sthaanabhedena Shoola - Jaanu Shoola,,1,6,12,9,6,3,
05 Hemant Rutu,S14.18,Sthaanabhedena Shoola - Janghaa Shoola,,,,,,1,3,
05 Hemant Rutu,S14.2,Sthaanabhedena Shoola - Aantra Shoola,,,1,1,2,1,,
05 Hemant Rutu,S14.21,Sthaanabhedena Shoola - Katee Shoola,,3,39,50,43,44,58,
05 Hemant Rutu,S14.22,Sthaanabhedena Shoola - Koshtha Shoola,,,,,,,1,
05 Hemant Rutu,S14.23,Sthaanabhedena Shoola - Kukshi Shoola,,,3,,1,1,2,
05 Hemant Rutu,S14.24,Sthaanabhedena Shoola - Manyaa Shoola,,,1,1,,,,
05 Hemant Rutu,S14.3,Sthaanabhedena Shoola - Amsa Shoola,,,4,3,4,1,1,
05 Hemant Rutu,S14.4,Sthaanabhedena Shoola - Anga Shoola,,,4,2,5,8,2,
05 Hemant Rutu,S14.6,Sthaanabhedena Shoola - Asthi Shoola,,,4,3,2,1,,
05 Hemant Rutu,S14.7,Sthaanabhedena Shoola - Baahu Shoola,1,,2,12,3,8,16,
05 Hemant Rutu,S15.31,Sthaanabhedena Shoola - Paada Shoola,,,2,3,7,4,5,
05 Hemant Rutu,S15.34,Sthaanabhedena Shoola - Parva Shoola,,,,,,1,,
05 Hemant Rutu,S15.36,Sthaanabhedena Shoola - Prishtha Shoola,,,,9,1,3,2,
05 Hemant Rutu,S15.38,Sthaanabhedena Shoola - Shirah Shoola,,,,2,7,1,,
05 Hemant Rutu,S15.42,Sthaanabhedena Shoola - Sandhi Shoola,,,2,4,,9,3,
05 Hemant Rutu,S15.44,Sthaanabhedena Shoola - Snaayu Shoola,,,,,,2,,
05 Hemant Rutu,S15.46,Sthaanabhedena Shoola - Stanaanta Shoola,,,,1,,,,
05 Hemant Rutu,S15.47,Sthaanabhedena Shoola - Trika Shoola,,,,1,,1,,
05 Hemant Rutu,S15.48,Sthaanabhedena Shoola - Urah Shoola,,,,1,,,,
05 Hemant Rutu,S15.50.0,Sthaanabhedena Shoola - Vrishana Shoola,,,,,,1,,
05 Hemant Rutu,S16.0,Sthaulya,,,13,23,57,51,54,
05 Hemant Rutu,S16.1,Stree Roga,,,2,7,5,7,3,
05 Hemant Rutu,S16.10,Stree Roga - Shvetapradara,,,,1,,1,,
05 Hemant Rutu,S16.12,Stree Roga - Yonigata Sraava,,,,3,,,,
05 Hemant Rutu,S16.20.0,Stree Roga - Raktapradara,1,,,1,,1,4,
05 Hemant Rutu,S16.20.8,STREEROGA - RAJONIVRITHI VIKARA,,,,,,,1,
05 Hemant Rutu,S16.21.4,STREEROGA - SOOTIKAA PARICHARYA,,,,,,,1,
05 Hemant Rutu,S16.22,Stree Roga - Stana Roga,,,,1,,,,
05 Hemant Rutu,S16.29.1,Stree Roga - Yoni Kandoo,,,,,,1,,
05 Hemant Rutu,S16.3,Stree Roga - Anaartava,,,,,,1,,
05 Hemant Rutu,S16.30.0,Stree Roga - Yonivyaapad,,,,1,,,,
05 Hemant Rutu,S16.30.10,Stree Roga - Yonivyaapad - Karninee,,,3,,,,,
05 Hemant Rutu,S16.30.13,Stree Roga - Yonivyaapad - Pariplutaa,,,,,,,4,
05 Hemant Rutu,S16.30.15,Stree Roga - Yonivyaapad - Pittalaa,,,,,,,2,
05 Hemant Rutu,S16.30.26,Stree Roga - Yonivyaapad - Vaatalaa,,,,,,,2,
05 Hemant Rutu,S16.30.9,Stree Roga - Yonivyaapad - Kaphajaa,,,,,,,3,
05 Hemant Rutu,S16.9,Stree Roga - Raja Kshaya,,,,,1,,,
05 Hemant Rutu,S17.0,Supti,,,1,2,5,3,11,
05 Hemant Rutu,S17.1,Supti - Paada Supti,,,1,1,,1,1,
05 Hemant Rutu,S18.0,Swastha,,,,4,6,8,13,
05 Hemant Rutu,S18.1,Swaasthya Pareeksha,,,,1,4,4,2,
05 Hemant Rutu,S1A.0,Shoola,,,,3,,1,1,
05 Hemant Rutu,S1A.2,Shoola - Annadrava Shoola,,,,1,,,,
05 Hemant Rutu,S1A.4,Shoola - Parinaama Shoola,,,,,1,,,
05 Hemant Rutu,S2.0,Shiroroga,,,1,,,,,
05 Hemant Rutu,S2.10,Shiroroga - Shirahshoola,,,7,6,4,11,7,
05 Hemant Rutu,S2.13,Shiroroga - Anantavaata,,,,,1,,,
05 Hemant Rutu,S2.14,Shiroroga - Ardhaavabhedaka,,,1,,1,2,3,
05 Hemant Rutu,S2.15.2,Shiroroga - Kapaalagata Shiroroga - Daarunaka,,,1,1,2,,1,
05 Hemant Rutu,S2.15.5,Shirorog - Kapaalagata Shiroroga - Paalitya,,,1,,,,,
05 Hemant Rutu,S2.16.1,Shiroroga - Kaphaja Shiroroga - Shirahshoola,,,1,,,2,,
05 Hemant Rutu,S2.19.1,Shiroroga - Pittaja Shiroroga - Shirahshoola,,,,,,,2,
05 Hemant Rutu,S2.3,Shiroroga – Sahaja,,,,,1,,,
05 Hemant Rutu,S2.4,Shiroroga - Shankha Shoola,,,,,1,,,
05 Hemant Rutu,S2.5,Shiroroga - Shira Abhihata,,,,1,,,,
05 Hemant Rutu,S3.0,Shotha,,,4,7,3,1,5,
05 Hemant Rutu,S3.3,Shrama,,,1,1,1,11,3,
05 Hemant Rutu,S4.0,Shvaasa,,,3,5,10,22,7,
05 Hemant Rutu,S4.4,Shvaasa-tamaka shvasa,,,,1,,,,
05 Hemant Rutu,S5.0,Shvitra,,,,1,2,1,3,
05 Hemant Rutu,U1.0,Udaavarta,,,,,4,1,5,
05 Hemant Rutu,U2.0,Udara,,,,2,1,,,
05 Hemant Rutu,U2.4,Udara- yakrut-pleeha,,,,,2,2,,
05 Hemant Rutu,U2.6,Udara-jalodara,,,,,,,1,
05 Hemant Rutu,U2.8,Udara-sannipataja,,,1,,,,,
05 Hemant Rutu,U3.0,Udarda,,,,1,,1,,
05 Hemant Rutu,U4.0,Unmaada,,,1,3,1,,,
05 Hemant Rutu,U4.5,Unmaada - Kaphaja,,,1,,,,,
05 Hemant Rutu,U4.7,Unmaada - Manokhedaja,,,1,,,,1,
05 Hemant Rutu,V.10,Vatavyadhi - Avrita Vata,,,,,,,3,
05 Hemant Rutu,V1.0,Vaatarakta,,,11,13,26,39,41,
05 Hemant Rutu,V1.2,Vaatarakta - Gambheera,,,1,1,,1,,
05 Hemant Rutu,V1.5,Vaatarakta - Pittaadhika Vaatarakta,,,,,,2,,
05 Hemant Rutu,V1.7,Vaatarakta - Uttaana,,,1,,1,,,
05 Hemant Rutu,V1.9,Vaatarakta - Vaataadhika Vaatarakta,,,,,,1,,
05 Hemant Rutu,V10.11,Vatavyadhi - Avrita Vata - Mamsavrita Vata,,,,,,,1,
05 Hemant Rutu,V10.29,Vatavyadhi - Avrita Vata - Udana avrita Prana,,,,,,,1,
05 Hemant Rutu,V10.8,Vatavyadhi - Avrita Vata - Kapha avrita Vata,,,,,,,1,
05 Hemant Rutu,V11.7,Vatavyadhi - Gatatva  - Sandhigata Vata,,,,,,,3,
05 Hemant Rutu,V11.8,Vatavyadhi - Gatatva  - Sarvangagata Vata,,,,,,,2,
05 Hemant Rutu,V13.0,Vrana,,,,1,3,3,,
05 Hemant Rutu,V13.1.0,Vrana - Aagantuja (Sadyo) Vrana,,,,,,1,,
05 Hemant Rutu,V13.1.3,Vrana - Aagantuja (Sadyo) Vrana - Dagdha Vrana,,,,,2,,,
05 Hemant Rutu,V13.1.5,Vrana - Aagantuja (Sadyo) Vrana - Kshata Aagantuja Vrana,,,1,,,,,
05 Hemant Rutu,V13.3,Vrana - Dushta Vrana,,,,,1,2,1,
05 Hemant Rutu,V13.4,Vrana - Jeerna Vrana,,,,1,,,,
05 Hemant Rutu,V15.1,Vriddhi - Aantraja,,,,,,1,,
05 Hemant Rutu,V15.4,Vriddhi - Mootraja,,,1,,,,,
05 Hemant Rutu,V16.0,Vrikka Roga,,,,4,8,8,5,
05 Hemant Rutu,V2.0,Vaatavyaadhi,,2,109,146,145,97,60,
05 Hemant Rutu,V2.10,Vaatavyaadhi - Avabaahuka,,,10,35,64,82,77,
05 Hemant Rutu,V2.13,Vaatavyaadhi - Avasthaa - Supti,,,,1,1,,,
05 Hemant Rutu,V2.15,Vaatavyaadhi - Baadhirya,,,1,,,,,
05 Hemant Rutu,V2.16,Vaatavyaadhi - Baahugata Vaata,,,,3,,,,
05 Hemant Rutu,V2.2,Vaatavyaadhi - Aadhmaana,,,,7,13,9,6,
05 Hemant Rutu,V2.21,Vaatavyaadhi - Ekaangavaata,,,,1,,,1,
05 Hemant Rutu,V2.23,Vaatavyaadhi - Gridhrasee,1,5,49,103,155,175,188,
05 Hemant Rutu,V2.24,Vaatavyaadhi - Gudasthita Vaata,,,,,,1,,
05 Hemant Rutu,V2.30,Vaatavyaadhi - Jaanugata Vaata,,,3,2,2,1,,
05 Hemant Rutu,V2.31,Vaatavyaadhi - Janghaagata Vaata,,,,,2,,,
05 Hemant Rutu,V2.34.0,Vaatavyaadhi - Kampa,,,2,5,9,17,11,
05 Hemant Rutu,V2.34.1,Vaatavyaadhi - Kampa - Baahu Kampa,,,1,,,,,
05 Hemant Rutu,V2.36,Vaatavyaadhi - Kateegata Vaata,,2,15,16,4,2,6,
05 Hemant Rutu,V2.38,Vaatavyaadhi - Khanja,,,,,1,,,
05 Hemant Rutu,V2.4.1,Vaatavyaadhi - Aavritavaata - Kaphaavrita Vaata,,,,,,,1,
05 Hemant Rutu,V2.40,Vaatavyaadhi - Kroshtukasheersha,,,,,,1,,
05 Hemant Rutu,V2.42,Vaatavyaadhi - Maamsagata Vaata,,,5,1,,3,,
05 Hemant Rutu,V2.44,Vaatavyaadhi - Majjaagata Vaata,,,,,,2,,
05 Hemant Rutu,V2.45,Vaatavyaadhi - Majjaasthigata Vaata,,,,,,1,,
05 Hemant Rutu,V2.46,Vaatavyaadhi - Manyaagata Vaata,,1,,,,,,
05 Hemant Rutu,V2.47,Vaatavyaadhi - Manyaastambha,,,,,3,2,1,
05 Hemant Rutu,V2.53,Vaatavyaadhi - Paadadaaha,,,1,,1,,,
05 Hemant Rutu,V2.54,Vaatavyaadhi - Paadaharsha,,,,,,1,,
05 Hemant Rutu,V2.56,Vaatavyaadhi - Pakvaashayasthita Vaata,,,,,,1,,
05 Hemant Rutu,V2.56.0,Vaatavyaadhi - Pakshavadha,,,5,8,13,13,13,
05 Hemant Rutu,V2.57,Vaatavyaadhi - Pangutva,,,1,1,2,,,
05 Hemant Rutu,V2.61,Vaatavyaadhi - Prishthagata Vaata,,,,4,1,,,
05 Hemant Rutu,V2.62,Vaatavyaadhi - Raktagata Vaata,,,1,,,,,
05 Hemant Rutu,V2.63,Vaatavyaadhi - Sandhigata Vaata,,1,123,154,215,241,224,
05 Hemant Rutu,V2.64,Vaatavyaadhi - Sarvaangagata Vaata,,1,,1,1,,2,
05 Hemant Rutu,V2.68,Vaatavyaadhi - Siraagata Vaata,,,6,2,1,3,1,
05 Hemant Rutu,V2.69,Vaatavyaadhi - Siraagraha,,,,1,,,,
05 Hemant Rutu,V2.7,Vaatavyaadhi - Ardita,,,,,1,2,,
05 Hemant Rutu,V2.70,Vaatavyaadhi - Snaayugata Vaata,,,2,,,,1,
05 Hemant Rutu,V2.71,Vaatavyaadhi - Toonee,,,,,,1,,
05 Hemant Rutu,V2.73,Vaatavyaadhi - Tvaggata Vaata,,,,3,1,,,
05 Hemant Rutu,V2.75,Vaatavyaadhi - Vaatakantaka,,,1,3,5,5,13,
05 Hemant Rutu,V2.77,Vaatavyaadhi - Vishvaachee,,,,,,2,4,
05 Hemant Rutu,V2.8,Vaatavyaadhi - Ashtheelaa,,,2,,4,,,
05 Hemant Rutu,V2.9,Vaatavyaadhi - Asthigata Vaata,,,14,32,2,7,1,
05 Hemant Rutu,V3.0,Vandhyatava,,,1,,1,1,,
05 Hemant Rutu,V3.1,Vandhyatava - Kaka Vandya,,,1,,,,1,
05 Hemant Rutu,V3.3,VANDHYATWA - ANAPATYA,,,,,,,1,
05 Hemant Rutu,V5.0,Vibandha,,,,1,1,3,2,
05 Hemant Rutu,V5.1,Vibandha - Mala Vibandha,,1,2,3,5,9,5,
05 Hemant Rutu,V5.2,Vibandha - Mootra Vibandha,,,,,1,,,
05 Hemant Rutu,V6.0,Vidradhi,,,,1,,,,
05 Hemant Rutu,V6.18,Vidradhi - Udaragata,,,,,,1,,
05 Hemant Rutu,V9.0,Visarpa,,,,1,1,1,2,
05 Hemant Rutu,Y1,Yakrit Dosha,,,2,5,4,6,1,
05 Hemant Rutu,Y2,Yoni Kandu,,,,1,,,,
05 Hemant Rutu,Y8.13,Yonivyaapad - Pariplutaa,,,,,,,4,
05 Hemant Rutu,Y8.15,Yonivyaapad - Pittalaa,,,,,1,,1,
05 Hemant Rutu,Y8.22,Yonivyaapad - Sramsinee,,,,,,,1,
05 Hemant Rutu,Y9.0,Yuvana pidika,,,,2,,1,,
05 Hemant Rutu,k12.0,Kushtha,1,,11,13,15,14,14,
05 Hemant Rutu,k12.16,Kushtha-vicharchika,,,4,2,2,3,1,
05 Hemant Rutu,k12.17,Kushtha-vipadika,,,,,,2,2,
05 Hemant Rutu,k12.2,Kushtha-Audumbara,,,,,1,,,
05 Hemant Rutu,k12.5,Kushtha-dadru,,,,2,,2,2,
05 Hemant Rutu,k12.6,Kushtha-ekakushta,,,,,,,1,
05 Hemant Rutu,k12.9,Kushtha-kitibha,,,1,5,1,6,3,
06 Shishir Rutu,A1.0,Aamadosha,,,,4,,1,2,
06 Shishir Rutu,A11.0,Arshas,,2,2,2,3,5,4,
06 Shishir Rutu,A11.1,Arsha - Charmakeela,,,,,,1,,
06 Shishir Rutu,A11.10,Arsha - Raktaja Arsha,,,,,1,,,
06 Shishir Rutu,A11.18,Arsha - Yonija Arsha,,2,,,,,1,
06 Shishir Rutu,A11.9,Arsha - Pittaja Arsha,,,,,,,1,
06 Shishir Rutu,A12.0,Artava Vyapad,,,,2,2,11,6,
06 Shishir Rutu,A12.1,Artava Vyapad - Anartava,,,2,1,1,1,1,
06 Shishir Rutu,A12.10,Artava Vyapad - Artava Kshaya,,,,,,,2,
06 Shishir Rutu,A12.11,ARTAVA VYAPAD - Pushpaghni Jataharini,,,,,,,5,
06 Shishir Rutu,A12.3,Artava Vyapad - Kaphaja,,,1,,,,,
06 Shishir Rutu,A12.4,Artava Vyapad - Ksheenartava,,,,,,,1,
06 Shishir Rutu,A13.0,Ashmaree,,,2,4,2,4,4,
06 Shishir Rutu,A13.2,Ashmaree - Pittaja,,,,,3,1,1,
06 Shishir Rutu,A13.3,Ashmaree - Pittaja - Shoola,,,1,,,1,,
06 Shishir Rutu,A15.0,Atatvaabhinivesha,,,,1,,,2,
06 Shishir Rutu,A16.0,Atisaara,,,1,1,3,,1,
06 Shishir Rutu,A16.2,Atisaara- pitta,,,,,1,,,
06 Shishir Rutu,A2.0,Aamavaata,,1,27,55,57,66,72,
06 Shishir Rutu,A2.1,Aamavaata - Kaphaja,,,,,2,,2,
06 Shishir Rutu,A2.2,Aamavaata - Pittaja,,,1,,,,,
06 Shishir Rutu,A2.3,Aamavaata - Vaataja,,,2,3,,1,,
06 Shishir Rutu,A3.0,Abhighataja Shoola,,2,10,14,21,30,43,
06 Shishir Rutu,A4.0,Agnimaandya,,,,,,1,,
06 Shishir Rutu,A5.0,Ajeerna,,,1,7,3,4,3,
06 Shishir Rutu,A5.2,Ajeerna-Amajeerna,,,,,,1,,
06 Shishir Rutu,A6.0,Amlapitta,,,10,28,25,23,60,
06 Shishir Rutu,A6.1,Amlapitta-Adhoga,,,,,,1,,
06 Shishir Rutu,A6.2,Amlapitta-Urdhwaga,,,,5,5,2,9,
06 Shishir Rutu,A7.0,Anaha,,,2,1,3,2,,
06 Shishir Rutu,A7A.0,Anidra,,,2,2,2,3,2,
06 Shishir Rutu,A8.0,Apasmaara,,,1,2,1,4,1,
06 Shishir Rutu,A9.0,Arbuda,,,,2,2,1,5,
06 Shishir Rutu,A9.2,Arbuda - Maamsaja,,,,,,,1,
06 Shishir Rutu,Anidra,A7A.0,,,,,1,1,2,
06 Shishir Rutu,B1.0,Baala Roga,,,,2,1,,,
06 Shishir Rutu,B1.34,Baala Roga - Krimi Roga,,,,,2,,,
06 Shishir Rutu,B1.9,Baala Roga -  Samvardana Vikara,,,1,,1,1,1,
06 Shishir Rutu,B2.0,Bhagandara,,,1,,,4,3,
06 Shishir Rutu,B2.1,Bhagandara - Arsho Bhagandara,,,,,,1,,
06 Shishir Rutu,B3.0,Bhagna,,,2,7,9,5,6,
06 Shishir Rutu,B3.2.0,Bhagna - Sandhimukta Bhagna,,,1,1,,,,
06 Shishir Rutu,B4,Bhasmaka,,,,1,,,,
06 Shishir Rutu,B5,Bhrama,,,,3,5,1,2,
06 Shishir Rutu,D0.0,Daaha,,,1,,1,,,
06 Shishir Rutu,D0.10,Daaha - Sthaanabhedena - Sarvaanga Daaha,,,,,1,,,
06 Shishir Rutu,D0.8,Daaha - Sthaanabhedena - Paada Daaha,,,,,,,1,
06 Shishir Rutu,D1.0,Dourbalya,,,3,2,2,5,2,
06 Shishir Rutu,G13.0,Gulma,,,1,4,1,2,,
06 Shishir Rutu,G3.0,Garbhapata,,,,,,1,,
06 Shishir Rutu,G6.0,Garbhini,,,,2,,3,2,
06 Shishir Rutu,G8.0,Grahanee,,,1,5,3,2,3,
06 Shishir Rutu,G8.2,Grahanee-pittaj,,,,,,1,,
06 Shishir Rutu,G8.5,Grahanee-Vataj,,,,,,,1,
06 Shishir Rutu,G9.0,Granthi,,,2,2,1,2,1,
06 Shishir Rutu,G9.10,Granthi (Garbhashaya),,,,,,,1,
06 Shishir Rutu,G9.11,GRANTHI - BEEJAKOSHA,,,,,,,3,
06 Shishir Rutu,G9.3,Granthi - Maamsaja Granthi,,,,,1,1,,
06 Shishir Rutu,G9.4,Granthi - Medoja Granthi,,,,1,,1,2,
06 Shishir Rutu,G9.6,Granthi - Raktaja Granthi,,,,1,,,,
06 Shishir Rutu,G9.7,Granthi - Siraa Granthi,,,4,8,8,13,14,
06 Shishir Rutu,H2.0,Hridroga,,1,5,5,7,8,7,
06 Shishir Rutu,J1.0,Jwara,,,3,5,4,5,6,
06 Shishir Rutu,K1.0,Kaamalaa,,,1,2,,,1,
06 Shishir Rutu,K10.10,Kshudra Roga - Charmakeela,,,,,1,1,,
06 Shishir Rutu,K10.11,Kshudra Roga - Chippa,,,,,,,1,
06 Shishir Rutu,K10.15,Kshudra Roga - Indralupta,,,,1,1,,,
06 Shishir Rutu,K10.23,Kshudra Roga - Kadara,,,,1,,,,
06 Shishir Rutu,K10.28,Kshudra Roga - Kunakha,,,1,,1,,1,
06 Shishir Rutu,K10.29,Kshudra Roga - Khalitya,,,3,3,1,2,2,
06 Shishir Rutu,K10.32,Kshudra Roga - Mukhadooshikaa,,,,,2,1,1,
06 Shishir Rutu,K10.34,Kshudra Roga - Niruddhaprakasha,,,,,,,1,
06 Shishir Rutu,K10.36,Kshudra Roga - Paadadaarikaa,,,1,,,,,
06 Shishir Rutu,K10.38A,Kshudra Roga - Parikartikaa,,,3,5,5,7,9,
06 Shishir Rutu,K10.46.0,Kshudra Roga - Valmeeka,,,,,,,1,
06 Shishir Rutu,K10.52.8,Kshudra Roga - Vaatakantaka,,,,,1,2,1,
06 Shishir Rutu,K10.8,Kshudra Roga - Arumshikaa,,,,,,1,,
06 Shishir Rutu,K2.0,Kaasa,,,6,14,19,25,19,
06 Shishir Rutu,K2.1,Kaasa- kapha,,,1,,,1,1,
06 Shishir Rutu,K2.2,Kaasa- kshataja,,,,,,1,,
06 Shishir Rutu,K2.4,Kaasa- pitta,,,1,,,,,
06 Shishir Rutu,K2.5,Kaasa- vata,,,2,2,,1,1,
06 Shishir Rutu,K3.0,Kandoo,,,1,1,2,4,6,
06 Shishir Rutu,K3.1,Kandoo - Guda Kandoo,,,,1,,,,
06 Shishir Rutu,K4.0,Karna Roga,,,,3,,,3,
06 Shishir Rutu,K4.10,Karna Roga - Karnabaadhirya - Kaphaanubandha,,,,,,,2,
06 Shishir Rutu,K4.11,Karna Roga - Karnabaadhirya - Shuddha Vaataja,,,,,1,1,1,
06 Shishir Rutu,K4.12,Karna Roga - Karnagoothaka,,,,,1,,2,
06 Shishir Rutu,K4.14,Karna Roga - Karnakshveda,,,1,2,,1,,
06 Shishir Rutu,K4.19,Karna Roga - Karnashoola,,,,,1,1,1,
06 Shishir Rutu,K4.20,Karna Roga - Karnashopha,,,,1,,,,
06 Shishir Rutu,K4.21,Karna Roga - Karnasraava,,,,,,,1,
06 Shishir Rutu,K4.9,Karna Roga - Karnabaadhirya,,,,2,1,1,,
06 Shishir Rutu,K6.2,Klaibya - Beejopaghaataja,,,,,,1,,
06 Shishir Rutu,K6.4,Klaibya - Dvajabhangaja,,,,1,,,,
06 Shishir Rutu,K7a.0,Kotha,,,,,1,,,
06 Shishir Rutu,K9.0,Kshudra Roga,,,2,10,4,14,11,
06 Shishir Rutu,K9.4,Kshudra Roga - Alajee,,,,,2,1,2,
06 Shishir Rutu,K9.5,Kshudra Roga - Alasa,,,1,,,,,
06 Shishir Rutu,M1.0,Madaatyaya - Paramada,,,,,,1,,
06 Shishir Rutu,M1.1,Madaatyaya - Pittaja,,,1,1,,,,
06 Shishir Rutu,M1.6,Madaatyaya - Vikshaya,,,1,,,,,
06 Shishir Rutu,M10.0,Medoroga,,,3,21,1,5,3,
06 Shishir Rutu,M10.1,Medoroga - Sthula medho roga,,,32,30,17,24,18,
06 Shishir Rutu,M10.2,Medoroga - Sukshma medho roga,,,2,,15,9,7,
06 Shishir Rutu,M12.0,Mootra Dosha,,,,1,,,,
06 Shishir Rutu,M13.0,Mootra Roga,,,,3,1,3,3,
06 Shishir Rutu,M14.16,Mootra Roga - Mootraaghaata - Vaatabasti,,,,,1,,,
06 Shishir Rutu,M16.0,Mootra Roga - Mootrakrichchhra,,,,,3,3,2,
06 Shishir Rutu,M18.0,Mukha Roga  - Mukha Shosha,,,,1,,,,
06 Shishir Rutu,M18.10.0,Mukha Roga - Dantamoolagata Roga,,,,,1,,,
06 Shishir Rutu,M18.10.3,Mukha Roga - Dantamoolagata Roga - Dantapupputa,,,,,,1,,
06 Shishir Rutu,M18.11.0,Mukha Roga - Galagata Roga,,,1,,1,3,3,
06 Shishir Rutu,M18.11.2,Mukha Roga - Galagata Roga - Galaganda,,,3,,2,4,7,
06 Shishir Rutu,M18.11.9,Mukha Roga - Galagata Roga - Tundikeree,,,,,,1,,
06 Shishir Rutu,M18.12.0,Mukha Roga - Gandagata Roga,,,,1,,1,,
06 Shishir Rutu,M18.14.0,Mukha Roga - Kanthagata Roga,,,,1,1,,2,
06 Shishir Rutu,M18.14.11,Mukha Roga - Kanthagata Roga - Galavidradhi,,,,,,,1,
06 Shishir Rutu,M18.15.0,Mukha Roga - Kaphaja,,,,,,,1,
06 Shishir Rutu,M18.19.4,Mukha Roga - Sarvagata - Mukhapaaka,,,1,,,1,,
06 Shishir Rutu,M18.9.0,Mukha Roga - Dantagata Roga,,,,1,,,,
06 Shishir Rutu,M18.9.2,Mukha Roga - Dantagata Roga  - Danta Maamsa Kandoo,,,1,,,,,
06 Shishir Rutu,M18.9.3,Mukha Roga - Dantagata Roga  - Danta Maamsa Paaka,,,,,1,,,
06 Shishir Rutu,M18.9.5,Mukha Roga - Dantagata Roga  - Danta Maamsa Sraava,,,1,,,,,
06 Shishir Rutu,M18.9.6,Mukha Roga - Dantagata Roga  - Danta Shoola,,,1,,,,,
06 Shishir Rutu,M2.0,Madhumeha,,2,9,16,107,140,177,
06 Shishir Rutu,M5.0,Maanasa Roga,,,2,,3,,1,
06 Shishir Rutu,M5.1,Maanasa Roga - Vishada,,,1,,,5,3,
06 Shishir Rutu,M5.2,Maanasa Roga - Glaani,,,,,1,,,
06 Shishir Rutu,M5.3,Smriti Bhrmsha,,,,,1,3,1,
06 Shishir Rutu,M6.0,Marma Viddha,,,,2,,3,1,
06 Shishir Rutu,M6.13,Marma Viddha - Gulpha Viddha,,,1,1,,,,
06 Shishir Rutu,M6.16,Marma Viddha - Jaanu Viddha,,,,1,1,,,
06 Shishir Rutu,M6.25,Marma Viddha - Kukundara Viddha,,,,,,,1,
06 Shishir Rutu,M6.27,Marma Viddha - Maamsa Viddha,,,,3,2,,,
06 Shishir Rutu,M6.3,Marma Viddha - Amsa Viddha,,,,2,,,,
06 Shishir Rutu,M6.38,Marma Viddha - Sandhi Viddha,,,,1,,,,
06 Shishir Rutu,M6.43,Marma Viddha - Snaayu Viddha,,,,3,4,1,3,
06 Shishir Rutu,M6.8,Marma Viddha - Asthimarma Viddha,,,,1,,,1,
06 Shishir Rutu,M9.0,Medhra Roga,,,,,,1,,
06 Shishir Rutu,MS G1.0,Greeva Graha,,,17,29,22,28,58,
06 Shishir Rutu,MS M1.0,Mutrashteela,,,,1,1,5,5,
06 Shishir Rutu,MS R1,Raktachapa,,,,6,4,9,7,
06 Shishir Rutu,MS T1.0,Twak Vivarnya,,,2,1,2,3,1,
06 Shishir Rutu,N1.0,Naadee Vrana,,,,1,1,,1,
06 Shishir Rutu,N2.0,Naasaa Roga,,,,2,1,1,1,
06 Shishir Rutu,N2.1,Naasaa Roga -  Naasaavarodha,,,1,2,,2,1,
06 Shishir Rutu,N2.12,Naasaa Roga - Naasaanaaha,,,,,,,3,
06 Shishir Rutu,N2.18,Naasaa Roga - Peenasa,,,4,12,10,13,15,
06 Shishir Rutu,N2.21.0,Naasaa Roga - Pratishyaaya,,,2,11,6,9,9,
06 Shishir Rutu,N2.21.1,Naasaa Roga - Pratishyaaya - Dushta Pratishyaaya,,,3,1,,1,4,
06 Shishir Rutu,N2.21.2,Naasaa Roga - Pratishyaaya - Kaphaja Pratishyaaya,,,1,,,1,2,
06 Shishir Rutu,N2.21.7,Naasaa Roga - Pratishyaaya - Vaataja Pratishyaaya,,,,,,3,1,
06 Shishir Rutu,N2.9,Naasaa Roga - Kshavathu,,,,,1,1,,
06 Shishir Rutu,N4.0,Netra Roga,,,8,15,1,27,21,
06 Shishir Rutu,N4.11,Netra Roga - Jaadya,,,,,,1,,
06 Shishir Rutu,N4.12,Netra Roga - Kandoo,,,,,1,1,,
06 Shishir Rutu,N4.13,Netra Roga - Kaphaja Linganaasha Shastrakarma Pashchaat,,,,,,,2,
06 Shishir Rutu,N4.19,Netra Roga - Netra Daaha,,,,,1,,1,
06 Shishir Rutu,N4.25,Netra Roga - Netra Sraava,,,,,,,4,
06 Shishir Rutu,N4.27,Netra Roga - Paichchhilya,,,,,,,1,
06 Shishir Rutu,N4.30,Netra Roga - Sashopha Akshipaaka,,,,,,1,,
06 Shishir Rutu,N4.35,Netra Roga - Triteeya Patalagata Timira,,,,,,2,15,
06 Shishir Rutu,N4.40.0,Netra Roga - Drishtigata,,,,,,5,,
06 Shishir Rutu,N4.40.14,Netra Roga - Drishtigata - Kaacha Roga - Vaataja,,,,,1,,,
06 Shishir Rutu,N4.40.20.0,Netra Roga - Drishtigata - Timira,,,,,3,5,,
